week,position,song,artist
9/22/1997,5,Honey,Mariah Carey
9/22/1997,6,All For You,Sister Hazel
9/22/1997,7,Invisible Man,98 Degrees
9/22/1997,8,How Do I Live,LeAnn Rimes
9/22/1997,9,I'll Be Missing You,Puff Daddy &amp; Faith Evans
9/22/1997,10,Do You Know,Robyn
9/22/1997,11,Building A Mystery,Sarah McLachlan
9/22/1997,12,Push,Matchbox 20
9/22/1997,13,Sunny Came Home,Shawn Colvin
9/22/1997,14,Men In Black,Will Smith
9/22/1997,15,Bitch,Meredith Brooks
9/22/1997,16,How Bizarre,Omc
9/22/1997,17,Barbie Girl,Aqua
9/22/1997,18,Fly,Sugar Ray
9/22/1997,19,The Freshmen,Verve Pipe
9/22/1997,20,Where's The Love?,Hanson
9/22/1997,21,Return Of The Mack,Mark Morrison
9/22/1997,22,4 Seasons Of Loneliness,Boyz II Men
9/22/1997,23,Coco Jamboo,Mr.President
9/22/1997,24,The Difference,Wallflowers
9/22/1997,25,I Don't Want To Wait,Paula Cole
9/22/1997,26,If You Could Only See,Tonic
9/22/1997,27,You Make Me Wanna...,Usher
9/22/1997,28,"Mo Money,mo Problems",Notorious B.I.G.
9/22/1997,29,All Cried Out,Allure &amp; 112
9/22/1997,30,Not Tonight,"Lil' Kim Feat. Da Brat. Left Eye, Elliott And Angie Martinez"
9/22/1997,31,On My Own,Peach Union
9/22/1997,32,Up Jumps Da Boogie,Magoo &amp; Timbaland
9/22/1997,33,Hard To Say I'm Sorry,Az Yet &amp; Peter Cetera
9/22/1997,34,Crash Into Me,Dave Matthews Band
9/22/1997,35,Never Make A Promise,Dru Hill
9/22/1997,36,The Impression That I Get,Mighty Mighty Bosstones
9/22/1997,37,You Should Be Mine (Don't Waste Your Time),Brian McKnight &amp; Mase
9/22/1997,38,My Love Is The Shhh!,Somethin' For The People Featuring Trina &amp; Tamara
9/22/1997,39,What About Us,Total
9/22/1997,40,Barely Breathing,Duncan Sheik
9/29/1997,1,Foolish Games,Jewel
9/29/1997,2,Quit Playing Games (with My Heart),Backstreet Boys
9/29/1997,3,Semi-charmed Life,Third Eye Blind
9/29/1997,4,2 Become 1,Spice Girls
9/29/1997,5,Honey,Mariah Carey
9/29/1997,6,Push,Matchbox 20
9/29/1997,7,All For You,Sister Hazel
9/29/1997,8,How Do I Live,LeAnn Rimes
9/29/1997,9,Invisible Man,98 Degrees
9/29/1997,10,4 Seasons Of Loneliness,Boyz II Men
9/29/1997,11,Building A Mystery,Sarah McLachlan
9/29/1997,12,Fly,Sugar Ray
9/29/1997,13,I'll Be Missing You,Puff Daddy &amp; Faith Evans
9/29/1997,14,Do You Know,Robyn
9/29/1997,15,Men In Black,Will Smith
9/29/1997,16,Sunny Came Home,Shawn Colvin
9/29/1997,17,Bitch,Meredith Brooks
9/29/1997,18,Barbie Girl,Aqua
9/29/1997,19,How Bizarre,Omc
9/29/1997,20,I Don't Want To Wait,Paula Cole
9/29/1997,21,The Freshmen,Verve Pipe
9/29/1997,22,All Cried Out,Allure &amp; 112
9/29/1997,23,If You Could Only See,Tonic
9/29/1997,24,The Difference,Wallflowers
