,week,position,song,artist
346,9/1/1997,27,Crash Into Me,Dave Matthews Band
347,9/1/1997,28,Never Make A Promise,Dru Hill
348,9/1/1997,29,You Make Me Wanna...,Usher
349,9/1/1997,30,Not Tonight,Lil' Kim
350,9/1/1997,31,If You Could Only See,Tonic
351,9/1/1997,32,Say You'll Be There,Spice Girls
352,9/1/1997,33,Mmm Bop,Hanson
353,9/1/1997,34,Up Jumps Da Boogie,Magoo
354,9/1/1997,35,I Don't Want To Wait,Paula Cole
355,9/1/1997,36,C U When U Get There,Coolio
356,9/1/1997,37,To The Moon And Back,Savage Garden
357,9/1/1997,38,Someone,SWV
358,9/1/1997,39,Gotham City,R. Kelly
359,9/1/1997,40,G.h.e.t.t.o.u.t.,Changing Faces
360,9/8/1997,1,2 Become 1,Spice Girls
361,9/8/1997,2,Quit Playing Games (with My Heart),Backstreet Boys
362,9/8/1997,3,Semi-charmed Life,Third Eye Blind
363,9/8/1997,4,Foolish Games,Jewel
364,9/8/1997,5,Honey,Mariah Carey
365,9/8/1997,6,All For You,Sister Hazel
366,9/8/1997,7,Do You Know,Robyn
367,9/8/1997,8,I'll Be Missing You,Puff Daddy
368,9/8/1997,9,Bitch,Meredith Brooks
369,9/8/1997,10,Sunny Came Home,Shawn Colvin
370,9/8/1997,11,Invisible Man,98 Degrees
371,9/8/1997,12,How Bizarre,Omc
372,9/8/1997,13,Men In Black,Will Smith
373,9/8/1997,14,Where's The Love?,Hanson
374,9/8/1997,15,Push,Matchbox 20
375,9/8/1997,16,The Freshmen,Verve Pipe
376,9/8/1997,17,Return Of The Mack,Mark Morrison
377,9/8/1997,18,How Do I Live,LeAnn Rimes
378,9/8/1997,19,Coco Jamboo,Mr.President
379,9/8/1997,20,Building A Mystery,Sarah McLachlan
380,9/8/1997,21,Barbie Girl,Aqua
381,9/8/1997,22,The Difference,Wallflowers
382,9/8/1997,23,"Mo Money,mo Problems",Notorious B.I.G.
383,9/8/1997,24,Crash Into Me,Dave Matthews Band
384,9/8/1997,25,You Make Me Wanna...,Usher
385,9/8/1997,26,If You Could Only See,Tonic
387,9/8/1997,28,Hard To Say I'm Sorry,Az Yet
388,9/8/1997,29,I Don't Want To Wait,Paula Cole
389,9/8/1997,30,Never Make A Promise,Dru Hill
390,9/8/1997,31,Not Tonight,Lil' Kim
391,9/8/1997,32,Up Jumps Da Boogie,Magoo
392,9/8/1997,33,Fly,Sugar Ray
393,9/8/1997,34,A Change Would Do You Good,Sheryl Crow
394,9/8/1997,35,Say You'll Be There,Spice Girls
395,9/8/1997,36,All Cried Out,Allure
396,9/8/1997,37,C U When U Get There,Coolio
397,9/8/1997,38,Someone,SWV
398,9/8/1997,39,Mmm Bop,Hanson
399,9/8/1997,40,I Miss My Homies,Master P
400,9/15/1997,1,Quit Playing Games (with My Heart),Backstreet Boys
401,9/15/1997,2,2 Become 1,Spice Girls
402,9/15/1997,3,Semi-charmed Life,Third Eye Blind
