week,position,song,artist
1997-09-01 00:00:00,28,Never Make A Promise,Dru Hill
1997-09-01 00:00:00,29,You Make Me Wanna...,Usher
1997-09-01 00:00:00,30,Not Tonight,"Lil' Kim Feat. Da Brat. Left Eye, Elliott And Angie Martinez"
1997-09-01 00:00:00,31,If You Could Only See,Tonic
1997-09-01 00:00:00,32,Say You'll Be There,Spice Girls
1997-09-01 00:00:00,33,Mmm Bop,Hanson
1997-09-01 00:00:00,34,Up Jumps Da Boogie,Magoo &amp; Timbaland
1997-09-01 00:00:00,35,I Don't Want To Wait,Paula Cole
1997-09-01 00:00:00,36,C U When U Get There,Coolio &amp; 40 Thevz
1997-09-01 00:00:00,37,To The Moon And Back,Savage Garden
1997-09-01 00:00:00,38,Someone,SWV (featuring Puff Daddy)
1997-09-01 00:00:00,39,Gotham City,R. Kelly
1997-09-01 00:00:00,40,G.h.e.t.t.o.u.t.,Changing Faces
1997-09-08 00:00:00,1,2 Become 1,Spice Girls
1997-09-08 00:00:00,2,Quit Playing Games (with My Heart),Backstreet Boys
1997-09-08 00:00:00,3,Semi-charmed Life,Third Eye Blind
1997-09-08 00:00:00,4,Foolish Games,Jewel
1997-09-08 00:00:00,5,Honey,Mariah Carey
1997-09-08 00:00:00,6,All For You,Sister Hazel
1997-09-08 00:00:00,7,Do You Know,Robyn
1997-09-08 00:00:00,8,I'll Be Missing You,Puff Daddy &amp; Faith Evans
1997-09-08 00:00:00,9,Bitch,Meredith Brooks
1997-09-08 00:00:00,10,Sunny Came Home,Shawn Colvin
1997-09-08 00:00:00,11,Invisible Man,98 Degrees
1997-09-08 00:00:00,12,How Bizarre,Omc
1997-09-08 00:00:00,13,Men In Black,Will Smith
1997-09-08 00:00:00,14,Where's The Love?,Hanson
1997-09-08 00:00:00,15,Push,Matchbox 20
1997-09-08 00:00:00,16,The Freshmen,Verve Pipe
1997-09-08 00:00:00,17,Return Of The Mack,Mark Morrison
1997-09-08 00:00:00,18,How Do I Live,LeAnn Rimes
1997-09-08 00:00:00,19,Coco Jamboo,Mr.President
1997-09-08 00:00:00,20,Building A Mystery,Sarah McLachlan
1997-09-08 00:00:00,21,Barbie Girl,Aqua
1997-09-08 00:00:00,22,The Difference,Wallflowers
1997-09-08 00:00:00,23,"Mo Money,mo Problems",Notorious B.I.G.
1997-09-08 00:00:00,24,Crash Into Me,Dave Matthews Band
1997-09-08 00:00:00,25,You Make Me Wanna...,Usher
1997-09-08 00:00:00,26,If You Could Only See,Tonic
1997-09-08 00:00:00,27,More Than This,"<img border=""0"" class=""lazyimg"" src=""https://top40-charts.com/images/spacer.gif"" width=""75""/>"
1997-09-08 00:00:00,28,Hard To Say I'm Sorry,Az Yet &amp; Peter Cetera
1997-09-08 00:00:00,29,I Don't Want To Wait,Paula Cole
1997-09-08 00:00:00,30,Never Make A Promise,Dru Hill
1997-09-08 00:00:00,31,Not Tonight,"Lil' Kim Feat. Da Brat. Left Eye, Elliott And Angie Martinez"
1997-09-08 00:00:00,32,Up Jumps Da Boogie,Magoo &amp; Timbaland
1997-09-08 00:00:00,33,Fly,Sugar Ray
1997-09-08 00:00:00,34,A Change Would Do You Good,Sheryl Crow
1997-09-08 00:00:00,35,Say You'll Be There,Spice Girls
1997-09-08 00:00:00,36,All Cried Out,Allure &amp; 112
1997-09-08 00:00:00,37,C U When U Get There,Coolio &amp; 40 Thevz
1997-09-08 00:00:00,38,Someone,SWV (featuring Puff Daddy)
1997-09-08 00:00:00,39,Mmm Bop,Hanson
1997-09-08 00:00:00,40,I Miss My Homies,Master P Featuring Pimp C And The Shocker
1997-09-15 00:00:00,1,Quit Playing Games (with My Heart),Backstreet Boys
1997-09-15 00:00:00,2,2 Become 1,Spice Girls
1997-09-15 00:00:00,3,Semi-charmed Life,Third Eye Blind
1997-09-15 00:00:00,4,Foolish Games,Jewel
1997-09-15 00:00:00,5,Honey,Mariah Carey
1997-09-15 00:00:00,6,All For You,Sister Hazel
1997-09-15 00:00:00,7,Do You Know,Robyn
1997-09-15 00:00:00,8,I'll Be Missing You,Puff Daddy &amp; Faith Evans
1997-09-15 00:00:00,9,Invisible Man,98 Degrees
1997-09-15 00:00:00,10,Push,Matchbox 20
1997-09-15 00:00:00,11,Bitch,Meredith Brooks
1997-09-15 00:00:00,12,Sunny Came Home,Shawn Colvin
1997-09-15 00:00:00,13,Men In Black,Will Smith
1997-09-15 00:00:00,14,How Bizarre,Omc
1997-09-15 00:00:00,15,How Do I Live,LeAnn Rimes
1997-09-15 00:00:00,16,Barbie Girl,Aqua
1997-09-15 00:00:00,17,The Freshmen,Verve Pipe
1997-09-15 00:00:00,18,Building A Mystery,Sarah McLachlan
1997-09-15 00:00:00,19,Where's The Love?,Hanson
1997-09-15 00:00:00,20,Return Of The Mack,Mark Morrison
1997-09-15 00:00:00,21,Coco Jamboo,Mr.President
1997-09-15 00:00:00,22,The Difference,Wallflowers
1997-09-15 00:00:00,23,Fly,Sugar Ray
1997-09-15 00:00:00,24,"Mo Money,mo Problems",Notorious B.I.G.
