chart_order,week,position,artist,song,combo
275,9/15/97,27,Paula Cole,I Don't Want To Wait,Paula Cole: I Don't Want To Wait
276,9/15/97,28,Az Yet,Hard To Say I'm Sorry,Az Yet: Hard To Say I'm Sorry
277,9/15/97,30,Allure,All Cried Out,Allure: All Cried Out
278,9/15/97,31,Dave Matthews Band,Crash Into Me,Dave Matthews Band: Crash Into Me
279,9/15/97,33,Lil' Kim,Not Tonight,Lil' Kim: Not Tonight
280,9/15/97,36,Total,What About Us,Total: What About Us
281,9/15/97,37,Mighty Mighty Bosstones,The Impression That I Get,Mighty Mighty Bosstones: The Impression That I Get
282,9/15/97,39,Duncan Sheik,Barely Breathing,Duncan Sheik: Barely Breathing
283,9/22/97,2,Backstreet Boys,Quit Playing Games (with My Heart),Backstreet Boys: Quit Playing Games (with My Heart)
284,9/22/97,3,Third Eye Blind,Semi-charmed Life,Third Eye Blind: Semi-charmed Life
285,9/22/97,4,Spice Girls,2 Become 1,Spice Girls: 2 Become 1
286,9/22/97,6,Sister Hazel,All For You,Sister Hazel: All For You
287,9/22/97,8,LeAnn Rimes,How Do I Live,LeAnn Rimes: How Do I Live
288,9/22/97,10,Robyn,Do You Know,Robyn: Do You Know
289,9/22/97,11,Sarah McLachlan,Building A Mystery,Sarah McLachlan: Building A Mystery
290,9/22/97,13,Shawn Colvin,Sunny Came Home,Shawn Colvin: Sunny Came Home
291,9/22/97,15,Meredith Brooks,Bitch,Meredith Brooks: Bitch
292,9/22/97,16,Omc,How Bizarre,Omc: How Bizarre
293,9/22/97,17,Aqua,Barbie Girl,Aqua: Barbie Girl
294,9/22/97,18,Sugar Ray,Fly,Sugar Ray: Fly
295,9/22/97,19,Verve Pipe,The Freshmen,Verve Pipe: The Freshmen
296,9/22/97,20,Hanson,Where's The Love?,Hanson: Where's The Love?
297,9/22/97,21,Mark Morrison,Return Of The Mack,Mark Morrison: Return Of The Mack
298,9/22/97,24,Wallflowers,The Difference,Wallflowers: The Difference
299,9/22/97,25,Paula Cole,I Don't Want To Wait,Paula Cole: I Don't Want To Wait
300,9/22/97,26,Tonic,If You Could Only See,Tonic: If You Could Only See
301,9/22/97,29,Allure,All Cried Out,Allure: All Cried Out
302,9/22/97,30,Lil' Kim,Not Tonight,Lil' Kim: Not Tonight
303,9/22/97,33,Az Yet,Hard To Say I'm Sorry,Az Yet: Hard To Say I'm Sorry
304,9/22/97,34,Dave Matthews Band,Crash Into Me,Dave Matthews Band: Crash Into Me
305,9/22/97,36,Mighty Mighty Bosstones,The Impression That I Get,Mighty Mighty Bosstones: The Impression That I Get
306,9/22/97,38,Somethin' For The People,My Love Is The Shhh!,Somethin' For The People: My Love Is The Shhh!
307,9/22/97,39,Total,What About Us,Total: What About Us
308,9/22/97,40,Duncan Sheik,Barely Breathing,Duncan Sheik: Barely Breathing
309,9/29/97,2,Backstreet Boys,Quit Playing Games (with My Heart),Backstreet Boys: Quit Playing Games (with My Heart)
310,9/29/97,3,Third Eye Blind,Semi-charmed Life,Third Eye Blind: Semi-charmed Life
311,9/29/97,4,Spice Girls,2 Become 1,Spice Girls: 2 Become 1
312,9/29/97,7,Sister Hazel,All For You,Sister Hazel: All For You
313,9/29/97,8,LeAnn Rimes,How Do I Live,LeAnn Rimes: How Do I Live
314,9/29/97,11,Sarah McLachlan,Building A Mystery,Sarah McLachlan: Building A Mystery
315,9/29/97,12,Sugar Ray,Fly,Sugar Ray: Fly
316,9/29/97,14,Robyn,Do You Know,Robyn: Do You Know
317,9/29/97,16,Shawn Colvin,Sunny Came Home,Shawn Colvin: Sunny Came Home
318,9/29/97,17,Meredith Brooks,Bitch,Meredith Brooks: Bitch
319,9/29/97,18,Aqua,Barbie Girl,Aqua: Barbie Girl
320,9/29/97,19,Omc,How Bizarre,Omc: How Bizarre
321,9/29/97,20,Paula Cole,I Don't Want To Wait,Paula Cole: I Don't Want To Wait
322,9/29/97,21,Verve Pipe,The Freshmen,Verve Pipe: The Freshmen
323,9/29/97,22,Allure,All Cried Out,Allure: All Cried Out
324,9/29/97,23,Tonic,If You Could Only See,Tonic: If You Could Only See
325,9/29/97,24,Wallflowers,The Difference,Wallflowers: The Difference
326,9/29/97,28,Hanson,Where's The Love?,Hanson: Where's The Love?
327,9/29/97,30,Mighty Mighty Bosstones,The Impression That I Get,Mighty Mighty Bosstones: The Impression That I Get
328,9/29/97,31,Mark Morrison,Return Of The Mack,Mark Morrison: Return Of The Mack
329,9/29/97,32,Lil' Kim,Not Tonight,Lil' Kim: Not Tonight
330,9/29/97,35,Fiona Apple,Criminal,Fiona Apple: Criminal
331,9/29/97,37,Somethin' For The People,My Love Is The Shhh!,Somethin' For The People: My Love Is The Shhh!
332,9/29/97,38,Total,What About Us,Total: What About Us
333,9/29/97,39,Dave Matthews Band,Crash Into Me,Dave Matthews Band: Crash Into Me
334,9/29/97,40,Next,Butta Love,Next: Butta Love
335,10/6/97,2,Backstreet Boys,Quit Playing Games (with My Heart),Backstreet Boys: Quit Playing Games (with My Heart)
336,10/6/97,3,Third Eye Blind,Semi-charmed Life,Third Eye Blind: Semi-charmed Life
337,10/6/97,5,Sugar Ray,Fly,Sugar Ray: Fly
338,10/6/97,6,Spice Girls,2 Become 1,Spice Girls: 2 Become 1
339,10/6/97,7,LeAnn Rimes,How Do I Live,LeAnn Rimes: How Do I Live
340,10/6/97,9,Sister Hazel,All For You,Sister Hazel: All For You
