chart_order,week,position,song,artist,combo_str
243,1997-09-08,18,How Do I Live,LeAnn Rimes,LeAnn RimesHow Do I Live
244,1997-09-08,20,Building A Mystery,Sarah McLachlan,Sarah McLachlanBuilding A Mystery
245,1997-09-08,21,Barbie Girl,Aqua,AquaBarbie Girl
246,1997-09-08,22,The Difference,Wallflowers,WallflowersThe Difference
247,1997-09-08,24,Crash Into Me,Dave Matthews Band,Dave Matthews BandCrash Into Me
248,1997-09-08,26,If You Could Only See,Tonic,TonicIf You Could Only See
249,1997-09-08,28,Hard To Say I'm Sorry,Az Yet,Az YetHard To Say I'm Sorry
250,1997-09-08,29,I Don't Want To Wait,Paula Cole,Paula ColeI Don't Want To Wait
251,1997-09-08,31,Not Tonight,Lil' Kim,Lil' KimNot Tonight
252,1997-09-08,33,Fly,Sugar Ray,Sugar RayFly
253,1997-09-08,35,Say You'll Be There,Spice Girls,Spice GirlsSay You'll Be There
254,1997-09-08,36,All Cried Out,Allure,AllureAll Cried Out
255,1997-09-08,37,C U When U Get There,Coolio,CoolioC U When U Get There
256,1997-09-08,39,Mmm Bop,Hanson,HansonMmm Bop
257,1997-09-08,40,I Miss My Homies,Master P,Master PI Miss My Homies
258,1997-09-15,1,Quit Playing Games (with My Heart),Backstreet Boys,Backstreet BoysQuit Playing Games (with My Heart)
259,1997-09-15,2,2 Become 1,Spice Girls,Spice Girls2 Become 1
260,1997-09-15,3,Semi-charmed Life,Third Eye Blind,Third Eye BlindSemi-charmed Life
261,1997-09-15,6,All For You,Sister Hazel,Sister HazelAll For You
262,1997-09-15,7,Do You Know,Robyn,RobynDo You Know
263,1997-09-15,11,Bitch,Meredith Brooks,Meredith BrooksBitch
264,1997-09-15,12,Sunny Came Home,Shawn Colvin,Shawn ColvinSunny Came Home
265,1997-09-15,14,How Bizarre,Omc,OmcHow Bizarre
266,1997-09-15,15,How Do I Live,LeAnn Rimes,LeAnn RimesHow Do I Live
267,1997-09-15,16,Barbie Girl,Aqua,AquaBarbie Girl
268,1997-09-15,17,The Freshmen,Verve Pipe,Verve PipeThe Freshmen
269,1997-09-15,18,Building A Mystery,Sarah McLachlan,Sarah McLachlanBuilding A Mystery
270,1997-09-15,19,Where's The Love?,Hanson,HansonWhere's The Love?
271,1997-09-15,20,Return Of The Mack,Mark Morrison,Mark MorrisonReturn Of The Mack
272,1997-09-15,22,The Difference,Wallflowers,WallflowersThe Difference
273,1997-09-15,23,Fly,Sugar Ray,Sugar RayFly
274,1997-09-15,26,If You Could Only See,Tonic,TonicIf You Could Only See
275,1997-09-15,27,I Don't Want To Wait,Paula Cole,Paula ColeI Don't Want To Wait
276,1997-09-15,28,Hard To Say I'm Sorry,Az Yet,Az YetHard To Say I'm Sorry
277,1997-09-15,30,All Cried Out,Allure,AllureAll Cried Out
278,1997-09-15,31,Crash Into Me,Dave Matthews Band,Dave Matthews BandCrash Into Me
279,1997-09-15,33,Not Tonight,Lil' Kim,Lil' KimNot Tonight
280,1997-09-15,36,What About Us,Total,TotalWhat About Us
281,1997-09-15,37,The Impression That I Get,Mighty Mighty Bosstones,Mighty Mighty BosstonesThe Impression That I Get
282,1997-09-15,39,Barely Breathing,Duncan Sheik,Duncan SheikBarely Breathing
283,1997-09-22,2,Quit Playing Games (with My Heart),Backstreet Boys,Backstreet BoysQuit Playing Games (with My Heart)
284,1997-09-22,3,Semi-charmed Life,Third Eye Blind,Third Eye BlindSemi-charmed Life
285,1997-09-22,4,2 Become 1,Spice Girls,Spice Girls2 Become 1
286,1997-09-22,6,All For You,Sister Hazel,Sister HazelAll For You
287,1997-09-22,8,How Do I Live,LeAnn Rimes,LeAnn RimesHow Do I Live
288,1997-09-22,10,Do You Know,Robyn,RobynDo You Know
289,1997-09-22,11,Building A Mystery,Sarah McLachlan,Sarah McLachlanBuilding A Mystery
290,1997-09-22,13,Sunny Came Home,Shawn Colvin,Shawn ColvinSunny Came Home
291,1997-09-22,15,Bitch,Meredith Brooks,Meredith BrooksBitch
292,1997-09-22,16,How Bizarre,Omc,OmcHow Bizarre
293,1997-09-22,17,Barbie Girl,Aqua,AquaBarbie Girl
294,1997-09-22,18,Fly,Sugar Ray,Sugar RayFly
295,1997-09-22,19,The Freshmen,Verve Pipe,Verve PipeThe Freshmen
296,1997-09-22,20,Where's The Love?,Hanson,HansonWhere's The Love?
297,1997-09-22,21,Return Of The Mack,Mark Morrison,Mark MorrisonReturn Of The Mack
298,1997-09-22,24,The Difference,Wallflowers,WallflowersThe Difference
299,1997-09-22,25,I Don't Want To Wait,Paula Cole,Paula ColeI Don't Want To Wait
300,1997-09-22,26,If You Could Only See,Tonic,TonicIf You Could Only See
301,1997-09-22,29,All Cried Out,Allure,AllureAll Cried Out
302,1997-09-22,30,Not Tonight,Lil' Kim,Lil' KimNot Tonight
303,1997-09-22,33,Hard To Say I'm Sorry,Az Yet,Az YetHard To Say I'm Sorry
304,1997-09-22,34,Crash Into Me,Dave Matthews Band,Dave Matthews BandCrash Into Me
305,1997-09-22,36,The Impression That I Get,Mighty Mighty Bosstones,Mighty Mighty BosstonesThe Impression That I Get
306,1997-09-22,38,My Love Is The Shhh!,Somethin' For The People,Somethin' For The PeopleMy Love Is The Shhh!
307,1997-09-22,39,What About Us,Total,TotalWhat About Us
308,1997-09-22,40,Barely Breathing,Duncan Sheik,Duncan SheikBarely Breathing
309,1997-09-29,2,Quit Playing Games (with My Heart),Backstreet Boys,Backstreet BoysQuit Playing Games (with My Heart)
310,1997-09-29,3,Semi-charmed Life,Third Eye Blind,Third Eye BlindSemi-charmed Life
311,1997-09-29,4,2 Become 1,Spice Girls,Spice Girls2 Become 1
312,1997-09-29,7,All For You,Sister Hazel,Sister HazelAll For You
313,1997-09-29,8,How Do I Live,LeAnn Rimes,LeAnn RimesHow Do I Live
314,1997-09-29,11,Building A Mystery,Sarah McLachlan,Sarah McLachlanBuilding A Mystery
315,1997-09-29,12,Fly,Sugar Ray,Sugar RayFly
316,1997-09-29,14,Do You Know,Robyn,RobynDo You Know
317,1997-09-29,16,Sunny Came Home,Shawn Colvin,Shawn ColvinSunny Came Home
318,1997-09-29,17,Bitch,Meredith Brooks,Meredith BrooksBitch
319,1997-09-29,18,Barbie Girl,Aqua,AquaBarbie Girl
320,1997-09-29,19,How Bizarre,Omc,OmcHow Bizarre
321,1997-09-29,20,I Don't Want To Wait,Paula Cole,Paula ColeI Don't Want To Wait
322,1997-09-29,21,The Freshmen,Verve Pipe,Verve PipeThe Freshmen
323,1997-09-29,22,All Cried Out,Allure,AllureAll Cried Out
324,1997-09-29,23,If You Could Only See,Tonic,TonicIf You Could Only See
325,1997-09-29,24,The Difference,Wallflowers,WallflowersThe Difference
326,1997-09-29,28,Where's The Love?,Hanson,HansonWhere's The Love?
327,1997-09-29,30,The Impression That I Get,Mighty Mighty Bosstones,Mighty Mighty BosstonesThe Impression That I Get
328,1997-09-29,31,Return Of The Mack,Mark Morrison,Mark MorrisonReturn Of The Mack
329,1997-09-29,32,Not Tonight,Lil' Kim,Lil' KimNot Tonight
330,1997-09-29,35,Criminal,Fiona Apple,Fiona AppleCriminal
